N¯ chambre;Chambre;Nom de l'entitÇ;Nature juridique;Sigle
3;Troisiäme chambre;Ecole centrale de Lille;EPSCP;ECL
3;Troisiäme chambre;Institut national des sciences appliquÇes de Rennes;EPSCP;INSA
3;Troisiäme chambre;Institut national des sciences appliquÇes de Toulouse;EPSCP;INSA
3;Troisiäme chambre;Ecole normale supÇrieure de Paris;EPSCP;ENS
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Paris;EPA;CROUS
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de CrÇteil;EPA;CROUS
3;Troisiäme chambre;Institut national des sciences appliquÇes de Lyon;EPSCP;INSA
3;Troisiäme chambre;êcole nationale d'ingÇnieurs de Metz;EPA;ENIM
5;Cinquiäme chambre;Centre d'Çtudes et de recherches sur les qualifications;EPA;CEREQ
3;Troisiäme chambre;RÇseau CanopÇ (ex CNDP);EPA;CNDP/CRDP
3;Troisiäme chambre;CENTRE INTERNATIONAL D'ETUDES PEDAGOGIQUES;EPA;CIEP
3;Troisiäme chambre;AcadÇmie des sciences d'Outre-Mer ;EPA;ASOM
3;Troisiäme chambre;Colläge de France;EPSCP;COFRANCE
3;Troisiäme chambre;Ecole nationale des chartes;EPSCP;ENCH
3;Troisiäme chambre;Institut national  de la jeunesse et de l'Çducation populaire;EPA;INJEP
3;Troisiäme chambre;Institut national du sport de l'expertise et de la performance (ex: Institut national du sport et de l'Çducation physique);EPSCP;INSEP
3;Troisiäme chambre;UniversitÇ de la RÇunion;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ de Rennes I;EPSCP;UNIVERSITE
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Rouen;EPA;CROUS
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Strasbourg;EPA;CROUS
3;Troisiäme chambre;Chancellerie de l'acadÇmie de Strasbourg ;EPA;
3;Troisiäme chambre;Bibliothäque nationale universitaire de Strasbourg;EPA;BNUS
3;Troisiäme chambre;UniversitÇ de Haute-Alsace;EPSCP;UNIVERSITE
3;Troisiäme chambre;Chancellerie  de l'universitÇ de Grenoble ;EPA;
3;Troisiäme chambre;UniversitÇ du Havre;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ Claude Bernard de Lyon I;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ de Bretagne Occidentale;EPSCP;UNIVERSITE
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Rennes;EPA;CROUS
3;Troisiäme chambre;UniversitÇ de Haute Bretagne Rennes II;EPSCP;UHB
3;Troisiäme chambre;Ecole nationale supÇrieure de chimie de Rennes;EPA;ENSCR
3;Troisiäme chambre;Chancellerie de l'acadÇmie de Rennes ;EPA;
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de La RÇunion;EPA;CROUS
3;Troisiäme chambre;Chancellerie de l'acadÇmie de La RÇunion ;EPA;
3;Troisiäme chambre;Chancellerie de l'acadÇmie de Rouen ;EPA;
3;Troisiäme chambre;UniversitÇ de Rouen;EPSCP;UNIVERSITE
3;Troisiäme chambre;Ecole nationale de voile et des sports nautiques;EPA;ENVSN
3;Troisiäme chambre;UniversitÇ de Lille I;EPSCP;UNIVERSITE
3;Troisiäme chambre;Ecole nationale supÇrieure de chimie de Lille;EPA;ENSCL
3;Troisiäme chambre;UniversitÇ de Lille II;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ de Lille III;EPSCP;UNIVERSITE
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Lille;EPA;CROUS
3;Troisiäme chambre;Chancellerie de l'acadÇmie de Lille ;EPA;
3;Troisiäme chambre;UniversitÇ de Lyon III;EPA-EPCS;
3;Troisiäme chambre;Institut d'Çtudes politiques de Lyon;EPA;IEP
3;Troisiäme chambre;UniversitÇ de Lyon II;EPSCP;UNIVERSITE
3;Troisiäme chambre;Chancellerie de  l'universitÇ de Lyon ;EPA;
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Lyon;EPA;CROUS
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Limoges;EPA;CROUS
3;Troisiäme chambre;UniversitÇ de Limoges;EPSCP;UNIVERSITE
